name,title,notes,tags,groups,resource_count,formats,metadata_created,metadata_modified,license_title,portal_url,has_description,has_tags,has_license
google-transit-lines-stops-bus-schedules,"Google Transit. Línies, parades, horaris d’autobusos de l'EMT de València","Fitxer Google Trànsit de les línies d’autobusos de l'EMT de València

Dades Alfanumèriques:

* - Estructura de Google Trànsit",(),(),1,"('ZIP',)",2021-12-15T10:51:17.825319,2026-07-12T19:36:11.088562,Atribución 4.0 Internacional (CC BY 4.0),https://opendata.vlci.valencia.es/dataset/google-transit-lines-stops-bus-schedules,True,False,True
estado-liquidacion-de-gastos,Estat liquidació de gastos,"Publicació que recull, mensualment i de manera sintètica, informació sobre modificació del crèdit, execució del pressupost de gasto i gastos de caràcter plurianual","('despeses', 'ejecución', 'execució', 'gastos', 'modificaciones de crédito', 'modificacions de crèdit', 'plurianual', 'pressupost', 'presupuesto')","('Economía', 'Hacienda')",1,"('CSV',)",2026-02-04T09:54:48.398581,2026-07-08T10:46:16.445724,Atribución 4.0 Internacional (CC BY 4.0),https://opendata.vlci.valencia.es/dataset/estado-liquidacion-de-gastos,True,True,True
estats_liq_ingresos_tot_2021-22_val_clean2,Estat de liquidació d'ingressos,"Publicació que recull, mensualment i de manera sintètica, informació sobre la execució del pressupost d'ingressos i modificacions de crèdit","('ingresos', 'ingressos', 'liquidació', 'liquidación')","('Hacienda',)",1,"('CSV',)",2026-02-04T10:38:14.962787,2026-07-08T10:38:02.031971,Atribución 4.0 Internacional (CC BY 4.0),https://opendata.vlci.valencia.es/dataset/estats_liq_ingresos_tot_2021-22_val_clean2,True,True,True
expedientes_derecho_acceso_-cas-nuevo-v2,Expedients dret d'accés,Expedients d'accés a la informació,"('Acceso a la información', 'Accés a la informació')","('Sector Público',)",1,"('CSV',)",2026-02-05T12:28:24.526030,2026-07-08T10:20:37.304461,Atribución 4.0 Internacional (CC BY 4.0),https://opendata.vlci.valencia.es/dataset/expedientes_derecho_acceso_-cas-nuevo-v2,True,True,True
pago-medio-proveedores-2018-2024,Pagament mitjà proveïdors 2018-2026,Pagament mitjà a proveîdors de l'Ajuntament de València y dels seus organismes i entitats dependents o participades,"('pagament', 'pago', 'proveedor', 'proveïdor')","('Sector Público',)",1,"('CSV',)",2026-02-04T11:43:47.677220,2026-07-01T09:39:48.093283,Atribución 4.0 Internacional (CC BY 4.0),https://opendata.vlci.valencia.es/dataset/pago-medio-proveedores-2018-2024,True,True,True
dades-de-l-estacio-de-contaminacio-atmosferica-centre-8a,Dades de l'estació de contaminació atmosfèrica Centre (8A),"Dades diaries de l'últim mes de l'estació de contaminació atmosfèrica Centre (8A).

* Contaminante
* NO.
* NO2.
* PM10.
* NOx.
* PM2,5.",(),"('Medio Ambiente',)",1,"('CSV',)",2022-05-10T05:39:45.498724,2026-06-26T08:41:36.006950,Atribución 4.0 Internacional (CC BY 4.0),https://opendata.vlci.valencia.es/dataset/dades-de-l-estacio-de-contaminacio-atmosferica-centre-8a,True,False,True
dades-de-l-estacio-de-contaminacio-atmosferica-de-boulevar-sud-7a,Dades de l'estació de contaminació atmosfèrica de Boulevar Sud (7A),"Dades diàries de l'últim mes de l'estació de contaminació atmosfèrica de Boulevar Sud (7A).

* Contaminante
* SO2.
* NO.
* NO2.
* PM10.
* Ni.
* NOx.
* Ozono.
* As.
* Pb.
* BaP.
* Cd.",(),"('Medio Ambiente',)",1,"('CSV',)",2019-12-17T10:51:02.616600,2026-06-26T08:40:55.988551,Atribución 4.0 Internacional (CC BY 4.0),https://opendata.vlci.valencia.es/dataset/dades-de-l-estacio-de-contaminacio-atmosferica-de-boulevar-sud-7a,True,False,True
dades-de-l-estacio-de-contaminacio-atmosferica-d-avda-franca-6a,Dades de l'estació de contaminació atmosfèrica d'Avda. França (6A),"Dades diaries de l'últim mes de l'estació de contaminació atmosfèrica de Avda. França (6A).

* Contaminante
* SO2.
* CO.
* NO.
* NO2.
* NOx.
* Ozono.
* Veloc.
* PM10.
* PM2,5.",(),"('Medio Ambiente',)",1,"('CSV',)",2019-12-17T10:41:44.212854,2026-06-26T08:40:11.411504,Atribución 4.0 Internacional (CC BY 4.0),https://opendata.vlci.valencia.es/dataset/dades-de-l-estacio-de-contaminacio-atmosferica-d-avda-franca-6a,True,False,True
dades-de-l-estacio-de-contaminacio-atmosferica-de-vivers-5a,Dades de l'estació de contaminació atmosfèrica de Vivers (5A),"Dades diàries de l'últim mes de l'estació de contaminació atmosfèrica de Vivers (5A) .

* Contaminant
* PM2.5.
* SO2.
* NO.
* NO2.
* PM10.
* Ni.
* NOx.
* Ozó.
* As.
* Pb.
* Cd.",(),"('Medio Ambiente',)",1,"('CSV',)",2019-12-17T10:39:19.271375,2026-06-26T08:39:29.178826,Atribución 4.0 Internacional (CC BY 4.0),https://opendata.vlci.valencia.es/dataset/dades-de-l-estacio-de-contaminacio-atmosferica-de-vivers-5a,True,False,True
dades-de-l-estacio-de-contaminacio-atmosferica-de-pista-de-silla-4a,Dades de l’estació de contaminació atmosfèrica de Pista de Silla (4A),"Dades diàries de l'últim mes de l’estació de contaminació atmosfèrica de Pista de Silla (4A).

* Contaminante
* PM2,5.
* PM1.
* Xileno.
* SO2.
* CO.
* NO.
* NO2.
* PM10.
* NOx.
* Ozono.
* Tolueno.
* Benceno.
* Ruido.",(),"('Medio Ambiente',)",1,"('CSV',)",2020-02-03T11:43:11.516872,2026-06-26T08:38:30.877523,Atribución 4.0 Internacional (CC BY 4.0),https://opendata.vlci.valencia.es/dataset/dades-de-l-estacio-de-contaminacio-atmosferica-de-pista-de-silla-4a,True,False,True
dades-de-l-estacio-de-contaminacio-atmosferica-de-moli-del-sol-3a,Dades de l'estació de contaminació atmosfèrica de Molí del Sol (3A),"Dades diàries de l'últim mes de l'estació de contaminació atmosfèrica de Molí del Sol (3A) .

* Contaminant.
* PM2.5.
* PM1.
* SO2.
* CO.
* NO.
* NO2.
* PM10.
* NOx.
* Ozó.",(),"('Medio Ambiente',)",1,"('CSV',)",2019-12-17T10:19:35.454217,2026-06-26T08:36:26.535503,Atribución 4.0 Internacional (CC BY 4.0),https://opendata.vlci.valencia.es/dataset/dades-de-l-estacio-de-contaminacio-atmosferica-de-moli-del-sol-3a,True,False,True
