strategy,query_id,query,domain,reciprocal_rank,recall_at_5,ndcg_at_10,top_result,ranked_results
bm25,bike_parking,aparcamientos para bicicletas,mobility,1.0,1.0,1.0,aparcaments-bicicletes-aparcamientos-bicicletas,aparcaments-bicicletes-aparcamientos-bicicletas|aparcaments-ora-aparcamientos-ora|aparcaments-persones-mobilitat-reduida-aparcamientos-personas-movilidad-reducida|aparcaments-no-regulats-aparcamientos-no-regulados|google-transit-lines-stops-bus-schedules|estado-liquidacion-de-gastos|estats_liq_ingresos_tot_2021-22_val_clean2|expedientes_derecho_acceso_-cas-nuevo-v2|pago-medio-proveedores-2018-2024|dades-de-l-estacio-de-contaminacio-atmosferica-centre-8a
bm25,bike_sharing,disponibilidad de bicicletas Valenbisi,mobility,1.0,1.0,1.0,valenbisi-disponibilitat-valenbisi-dsiponibilidad,valenbisi-disponibilitat-valenbisi-dsiponibilidad|aparcaments-bicicletes-aparcamientos-bicicletas|vulnerabilidad-por-barrios|google-transit-lines-stops-bus-schedules|estado-liquidacion-de-gastos|estats_liq_ingresos_tot_2021-22_val_clean2|expedientes_derecho_acceso_-cas-nuevo-v2|pago-medio-proveedores-2018-2024|dades-de-l-estacio-de-contaminacio-atmosferica-centre-8a|dades-de-l-estacio-de-contaminacio-atmosferica-de-boulevar-sud-7a
bm25,bike_counters,conteo de bicicletas en la ciudad,mobility,0.0,0.0,0.0,aparcaments-bicicletes-aparcamientos-bicicletas,aparcaments-bicicletes-aparcamientos-bicicletas|hoteles-en-la-ciudad-de-valencia|google-transit-lines-stops-bus-schedules|estado-liquidacion-de-gastos|estats_liq_ingresos_tot_2021-22_val_clean2|expedientes_derecho_acceso_-cas-nuevo-v2|pago-medio-proveedores-2018-2024|dades-de-l-estacio-de-contaminacio-atmosferica-centre-8a|dades-de-l-estacio-de-contaminacio-atmosferica-de-boulevar-sud-7a|dades-de-l-estacio-de-contaminacio-atmosferica-d-avda-franca-6a
bm25,bus_schedule,horarios y paradas de autobus EMT,mobility,0.3333333333333333,1.0,0.5,emt-travelers-2020-2022,emt-travelers-2020-2022|emt|google-transit-lines-stops-bus-schedules|rvvcca_d_horarios_2021-2022|rvvcca_d_horarios_2016-2020|equipaments-municipales|vulnerabilidad-por-barrios|estado-liquidacion-de-gastos|estats_liq_ingresos_tot_2021-22_val_clean2|expedientes_derecho_acceso_-cas-nuevo-v2
bm25,cycling_routes,itinerarios y rutas ciclistas,mobility,1.0,1.0,1.0,itinerarios-ciclistas-itineraris-ciclistes,itinerarios-ciclistas-itineraris-ciclistes|recursos-turisticos|rutas-accesibles-jardin-turia|rutas-turismo-barrio|google-transit-lines-stops-bus-schedules|estado-liquidacion-de-gastos|estats_liq_ingresos_tot_2021-22_val_clean2|expedientes_derecho_acceso_-cas-nuevo-v2|pago-medio-proveedores-2018-2024|dades-de-l-estacio-de-contaminacio-atmosferica-centre-8a
bm25,metro_stations,estaciones de metro FGV,mobility,1.0,1.0,1.0,fgv-estacions-estaciones,fgv-estacions-estaciones|fgv-bocas|estacions-de-soroll-estaciones-de-ruido|estacions-de-soroll-monitoritzacio-zas-estaciones-de-ruido-monitorizacion-zas|estacions-contaminacio-atmosferiques-estaciones-contaminacion-atmosfericas|estacions-atmosferiques-estaciones-atmosfericas|rvvcca_d_horarios_2021-2022|rvvcca_d_horarios_2016-2020|google-transit-lines-stops-bus-schedules|estado-liquidacion-de-gastos
bm25,air_quality,datos historicos de calidad del aire,environment,0.3333333333333333,1.0,0.5,rvvcca_d_horarios_2021-2022,rvvcca_d_horarios_2021-2022|rvvcca_d_horarios_2016-2020|hourly-air-quality-data-since-2016|datos-tickets-ora-resumen-2024-2025|datos-de-la-estacion-de-contaminacion-atmosferica-de-universidad-politecnica-1a|illes-amb-dades-de-poblacio-manzanas-con-datos-de-poblacion|google-transit-lines-stops-bus-schedules|estado-liquidacion-de-gastos|estats_liq_ingresos_tot_2021-22_val_clean2|expedientes_derecho_acceso_-cas-nuevo-v2
bm25,pollution_stations,estaciones de contaminacion atmosferica,environment,0.5,1.0,0.6309297535714575,datos-de-la-estacion-de-contaminacion-atmosferica-de-universidad-politecnica-1a,datos-de-la-estacion-de-contaminacion-atmosferica-de-universidad-politecnica-1a|estacions-contaminacio-atmosferiques-estaciones-contaminacion-atmosfericas|rvvcca_d_horarios_2021-2022|rvvcca_d_horarios_2016-2020|dades-de-l-estacio-de-contaminacio-atmosferica-centre-8a|dades-de-l-estacio-de-contaminacio-atmosferica-de-vivers-5a|dades-de-l-estacio-de-contaminacio-atmosferica-d-avda-franca-6a|dades-de-l-estacio-de-contaminacio-atmosferica-de-moli-del-sol-3a|dades-de-l-estacio-de-contaminacio-atmosferica-de-boulevar-sud-7a|dades-de-l-estacio-de-contaminacio-atmosferica-de-pista-de-silla-4a
bm25,night_noise,mapa de ruido nocturno,environment,1.0,1.0,1.0,mapa-soroll-nit-mapa-ruido-noche,mapa-soroll-nit-mapa-ruido-noche|mapa-soroll-dia-mapa-ruido-dia|mapa-soroll-24h-mapa-ruido-24h|mapa-soroll-vesprada-mapa-ruido-tarde|estacionament-nocturn-permes-bus-estacionamiento-nocturno-permitido-bus|estacions-de-soroll-estaciones-de-ruido|mapa-soroll-nit-23-7h|mapa-soroll-dia-7h-19h|mapa-soroll-vesprada-19-23h|mapa-soroll-lden-24-h
bm25,waste_containers,contenedores de residuos solidos,environment,1.0,1.0,1.0,contenidors-residus-solids-contenidores-residuos-solidos,contenidors-residus-solids-contenidores-residuos-solidos|localitzacio-contenidors-piles-localizacion-contenedores-pilas|contenidors-de-roba-contenedores-de-ropa|contenidors-vidre-contenedores-vidrio|contenidors-oli-usat-contenedores-aceite-usado|google-transit-lines-stops-bus-schedules|estado-liquidacion-de-gastos|estats_liq_ingresos_tot_2021-22_val_clean2|expedientes_derecho_acceso_-cas-nuevo-v2|pago-medio-proveedores-2018-2024
bm25,protected_trees,arbolado protegido municipal,environment,1.0,1.0,1.0,arbratge-protegit-municipal-arbolado-protegido-municipal,arbratge-protegit-municipal-arbolado-protegido-municipal|arbratge-arbolado|xarxa-topografica-municipal-red-topografica-municipal|llistat-dels-carrers|quiosc-once-quiosco-once|quioscs-premsa-quioscos-prensa|quioscs-flors-quioscos-flores|equipamients-municipals-equipamientos-municipales|caja_fija|equipaments-municipales
